shelter_id,address,lat,lon
145,서울특별시 중랑구 양원역로 92 (LH서울양원1단지),37.608999,127.107189
146,서울특별시 중랑구 송림길 172 (양원숲속도서관),37.604596,127.111335
147,서울특별시 중랑구 망우로73길 46-1 (중랑숲어린이도서관),37.602658,127.103879
148,서울특별시 중랑구 용마산로112가길 34 (예성그린캐슬아파트 관리동),37.597028,127.102059
149,서울특별시 중랑구 망우로75길 19 (중랑숲리가아파트 상가동),37.602371,127.104937
150,서울특별시 중랑구 용마산로115길 127 (한일써너스빌리젠시1단지 102호),37.59736,127.093475
151,서울특별시 중랑구 양원역로6가길 19 (중랑해모로아파트 101동),37.602621,127.110373
152,서울특별시 중랑구 양원역로 18 (중랑숲금호어울림 관리동),37.601015,127.110341
153,서울특별시 중랑구 망우로 504-7 (신원아파트),37.600012,127.108528
154,서울특별시 중랑구 용마산로112나길 69 (망우동),37.595917,127.102489
155,서울특별시 중랑구 양원역로 37 (경남아파트 상가),37.603735,127.106404
156,서울특별시 중랑구 망우로 390 (망우동),37.5985756,127.0956763
157,"서울특별시 중랑구 망우로 570  (망우동, 망우묘지관리사무소)",37.5963805,127.1153213
158,서울특별시 중랑구 용마산로115나길 8 (우림경로당),37.59766,127.096645
159,서울특별시 중랑구 망우로67길 10 (망우본동복합청사),37.600587,127.101506
160,서울특별시 중랑구 망우로72길 15-3 (망우경로당),37.59936,127.102815
161,서울특별시 중랑구 봉우재로65가길 18 (안산경로당),37.595745,127.098159
162,서울특별시 중랑구 망우로73길 24-8 (망우본동경로당),37.601595,127.103653
163,서울특별시 중랑구 용마산로 461,37.592359,127.098163
164,서울특별시 중랑구 봉우재로58길 16-5 (햇님경노당),37.59365,127.095257
165,서울특별시 중랑구 용마공원로5가길 36 (샛별경로당),37.593008,127.102235
166,서울특별시 중랑구 겸재로61길 40 (망우3동주민센터),37.59188,127.094927
167,서울특별시 중랑구 봉화산로56길 112 (신내동 경남아너스빌 101동),37.603616,127.096737
168,서울특별시 중랑구 봉화산로56길 51 (우남푸르미아아파트 관리소),37.606217,127.098926
169,서울특별시 중랑구 봉화산로56길 123 (중앙하이츠아파트 경로당),37.603446,127.098121
170,서울특별시 중랑구 용마산로129가길 41 (영풍마드레빌),37.605613,127.10002
171,서울특별시 중랑구 봉화산로56길 73 (경원아파트),37.60552,127.098443
172,서울특별시 중랑구 용마산로125길 50 (벽산아파트 관리사무실),37.60314,127.100042
173,서울특별시 중랑구 용마산로125길 92 (석탑아파트),37.603633,127.101071
174,서울특별시 중랑구 용마산로 616 (새한아파트 관리사무실),37.605137,127.101501
175,서울특별시 중랑구 신내로14길 21 (동성7차아파트),37.60603,127.097134
176,서울특별시 중랑구 봉화산로 216 (동성아파트 관리사무소),37.606803,127.096662
177,서울특별시 중랑구 신내로 110 (동성아파트),37.608308,127.096115
178,서울특별시 중랑구 신내로 128,37.609854,127.09737
179,"서울특별시 중랑구 신내로16길 33 (신내동, 신내동 의료안심주택)",37.6139871,127.0981666
180,"서울특별시 중랑구 신내역로 165 (신내동, 신내 데시앙포레)",37.6153702,127.1099925
181,"서울특별시 중랑구 신내역로1길 85 (신내동, 신내우디안1단지)",37.6171039,127.1064734
182,서울특별시 중랑구 용마산로139나길 47 (새우개경로당),37.617697,127.102349
183,서울특별시 중랑구 망우로65길 20 (신내동),37.6012676,127.0999342
184,서울특별시 중랑구 용마산로129나길 35 (신내1동주민센터),37.60589,127.099463
185,서울특별시 중랑구 신내로 56 ((복)유린보은동산),37.6042,127.096016
186,서울특별시 중랑구 망우로65길 20 (중랑구신내경로복지센터),37.601257,127.099926
187,서울특별시 중랑구 용마산로129나길 25 (구립피울경로당),37.606175,127.099679
