진료개시년도,지역,환자수
2022,함양군,18
2022,거창군,19
2022,합천군,42
2022,제주시,265
2022,서귀포시,759
2023,종로구,33
2023,중구,14
2023,용산구,57
2023,성동구,37
2023,광진구,66
2023,동대문구,53
2023,중랑구,84
2023,성북구,58
2023,강북구,32
2023,도봉구,28
2023,노원구,67
2023,은평구,274
2023,서대문구,192
2023,마포구,90
2023,양천구,96
2023,강서구,73
2023,구로구,99
2023,금천구,57
2023,영등포구,80
2023,동작구,167
2023,관악구,93
2023,서초구,548
2023,강남구,225
2023,송파구,104
2023,강동구,335
2023,중구,19
2023,서구,38
2023,동구,29
2023,영도구,273
2023,부산진구,81
2023,동래구,73
2023,남구,41
2023,북구,51
2023,해운대구,74
2023,사하구,93
2023,금정구,43
2023,강서구,70
2023,연제구,31
2023,수영구,31
2023,사상구,82
2023,기장군,32
2023,중구,9
2023,동구,52
2023,서구,29
2023,남구,40
2023,북구,58
2023,수성구,80
2023,달서구,82
2023,달성군,62
2023,군위군,5
2023,중구,32
2023,동구,16
2023,미추홀구,64
2023,연수구,51
2023,남동구,96
2023,부평구,143
2023,계양구,307
2023,서구,112
2023,강화군,13
2023,옹진군,7
2023,동구,23
2023,서구,74
2023,남구,35
2023,북구,91
2023,광산구,86
2023,동구,58
2023,중구,90
2023,서구,177
2023,유성구,200
2023,대덕구,117
2023,중구,70
2023,남구,37
2023,동구,54
2023,북구,23
2023,울주군,71
2023,세종시,154
2023,수원시 장안구,58
2023,수원시 권선구,121
2023,수원시 팔달구,42
2023,수원시 영통구,91
2023,성남시 수정구,54
2023,성남시 중원구,50
2023,성남시 분당구,364
2023,의정부시,67
2023,안양시 만안구,28
2023,안양시 동안구,28
2023,부천시,197
2023,광명시,43
2023,평택시,159
2023,동두천시,20
2023,안산시 상록구,93
2023,안산시 단원구,64
2023,고양시 덕양구,147
2023,고양시 일산동구,195
2023,고양시 일산서구,69
2023,과천시,13
2023,구리시,43
2023,남양주시,170
2023,오산시,53
2023,시흥시,204
